num_visits,location,total_minutes_on_demo,user_age,demo_source,data_rows_input,operating_system,users_in_network,outreach_emails_sent,support_tickets_filed,converted
6,Denver,186.617486365,48,referral,7166,OSX,27,7,1,False
5,Austin,108.254929949,41,email,11950,Other,22,5,0,True
6,Phoenix,77.8053257441,43,conference,9700,Windows,20,8,1,False
6,Albany,126.419792195,50,email,11378,Windows,16,6,0,False
5,Tulsa,192.564409378,56,email,3401,OSX,11,8,2,False
8,Phoenix,112.126472398,43,website,9803,Windows,29,7,3,True
7,Denver,167.050982763,41,email,11656,OSX,20,6,0,False
8,Kansas City,137.435892488,36,conference,12375,Windows,34,7,1,False
5,Freehold,157.069016944,47,conference,6797,Windows,23,4,1,False
8,Memphis,179.212758136,45,email,6397,OSX,28,5,0,True
8,Las Vegas,201.029684982,44,website,8919,OSX,25,7,0,True
7,Atlanta,163.542262418,45,conference,10272,Windows,24,6,0,False
6,New York,144.875659913,50,website,6865,Windows,17,6,1,False
6,Chicago,134.735876558,40,email,8662,Windows,19,6,0,False
4,Denver,140.883456044,48,email,3658,Windows,17,8,5,False
8,Austin,192.800527804,48,conference,11990,OSX,25,7,0,True
9,Boston,236.839693563,45,referral,7804,OSX,26,5,0,True
6,Tulsa,129.354611298,51,conference,6442,Other,13,8,2,False
6,Memphis,81.4436132613,45,referral,10538,Windows,23,6,0,False
10,Austin,90.0550677727,38,email,12925,OSX,28,7,4,True
9,Freehold,123.281766065,42,referral,5673,Other,31,6,2,True
6,Albany,170.044032487,35,website,11436,Windows,24,7,0,False
5,Las Vegas,179.440477289,37,email,14112,Other,31,6,3,False
6,Phoenix,151.797482889,39,email,10630,Windows,20,8,0,False
8,New York,127.647676709,48,conference,12725,Other,12,6,0,False
5,Tulsa,190.219887431,59,referral,13305,Other,26,6,1,True
4,Columbus,211.458919333,48,conference,6572,OSX,18,6,0,False
8,San Diego,131.183049269,39,website,10807,Windows,23,6,0,False
6,Memphis,154.709332349,44,email,8695,Windows,21,7,0,False
9,Seattle,192.021149498,41,website,11809,OSX,24,6,0,True
5,Albany,169.318271802,49,website,3790,Windows,14,5,3,False
10,Memphis,105.228629296,34,website,7501,OSX,32,6,2,False
5,Chicago,147.107288973,41,email,10654,Windows,20,5,0,False
6,Tulsa,162.283475989,47,website,12561,OSX,15,7,5,True
6,Columbus,178.664465589,50,email,8930,Other,16,6,0,False
7,Denver,176.703858398,43,website,12802,OSX,25,6,1,False
7,New York,145.396824013,53,website,12079,OSX,21,5,1,True
7,Seattle,130.639375633,49,email,10049,Windows,15,6,0,False
6,Phoenix,152.973607275,48,conference,7972,Other,18,5,0,False
6,Phoenix,252.315485229,50,website,3791,Windows,19,5,0,False
7,New York,90.7035570962,45,conference,9603,Windows,16,8,0,False
5,San Diego,128.159205178,51,website,8601,Windows,16,5,2,False
5,Las Vegas,149.38085943,48,email,3941,Windows,17,7,4,True
8,Albany,61.6124955997,39,website,9081,Windows,19,6,0,False
8,Phoenix,79.2068173722,47,email,9970,Windows,19,6,0,False
12,Phoenix,99.8660602042,33,referral,7595,OSX,32,8,1,False
5,Denver,96.6389785744,51,conference,9105,Other,15,7,1,False
9,Kansas City,148.989586285,45,referral,11718,OSX,19,5,0,False
5,Freehold,141.486801891,46,conference,6212,OSX,15,6,2,False
8,Atlanta,98.4482874413,40,referral,6841,Windows,27,6,1,False
5,Columbus,183.526838819,51,website,13341,Other,21,5,1,False
7,Denver,158.401947974,45,email,13213,Windows,21,5,0,False
5,San Diego,170.179157724,52,website,5684,Windows,14,7,2,False
11,Tulsa,107.589378055,45,website,9317,Windows,23,7,0,False
7,Boston,96.8593506504,40,conference,8302,Windows,18,7,0,False
6,Seattle,167.495169709,43,email,5934,Windows,21,5,0,False
6,Austin,157.353821669,42,email,11664,Windows,8,5,0,False
11,San Jose,105.79912989,45,conference,10167,Windows,22,5,1,True
7,Chicago,19.9105533621,45,conference,9298,Windows,12,4,2,False
7,Tulsa,154.053732437,39,conference,11307,Windows,19,6,0,False
5,Las Vegas,164.560633082,45,website,7426,OSX,23,6,0,True
9,San Diego,135.869776594,47,referral,8471,Windows,18,5,0,False
9,San Jose,224.799273475,51,website,9948,OSX,19,6,1,True
6,Atlanta,155.918711159,39,referral,10618,OSX,20,5,0,True
9,San Jose,216.446471194,45,website,8922,OSX,24,7,0,True
7,Seattle,139.546691014,34,website,9064,Windows,24,7,0,False
5,San Diego,164.392280195,43,website,12259,Windows,15,5,0,False
9,Tulsa,194.184531351,48,website,5652,OSX,24,6,0,True
7,Albany,116.777998598,49,website,10704,Windows,14,7,0,False
5,Albany,136.010661224,46,website,7985,Windows,19,7,1,False
3,Columbus,169.835755298,51,conference,6848,OSX,14,6,2,False
6,Los Angeles,149.945739644,47,email,12137,Windows,21,5,0,False
8,San Diego,161.091484443,48,website,8881,OSX,19,7,2,True
6,Chicago,157.735592238,49,email,8332,Windows,18,5,0,False
8,Freehold,139.840535929,46,website,7161,Windows,23,6,2,True
6,Chicago,151.982595825,45,website,11309,Windows,22,5,0,False
7,Columbus,82.7029171175,43,email,6034,Windows,14,6,2,False
7,Freehold,92.2321449577,48,conference,12500,Windows,15,6,0,False
7,Denver,136.031322489,41,conference,12029,Other,22,5,0,False
6,Memphis,165.517561717,53,conference,8789,Other,18,6,0,False
4,Freehold,200.510806511,44,conference,13705,OSX,20,4,0,False
10,Kansas City,89.5452491811,45,conference,13636,Windows,23,7,1,True
7,San Jose,137.86397064,50,email,10608,Windows,17,7,0,False
